ind	wgs	vlp.id	contig	Inducer	length	circularity	contig.length	unmmaped.reads.number	vlp.coverage	orf.number	uniprot.total.orf.number	uniprot.species	uniprot.species.orf.number	wgs.contig	pident	ind.len	wgs.len	alignment.len	ind.phage.total	ind.total	vlp.reads.number	vlp.total	shot.maptowgs.total	shotgun.total	shotgun.total.2	ratio
BN3751	wgs2	D3751	BN3751.contig3	No inducer	13587	non-circular	13587	1324	0.99897	14	13	Lactobacillus phage iA2	5	wgs2.contig7	99.52	13587	175009	13570	71970	257188	1714	9505542	80755	6918152	4032156	0.011672915
EM3404	wgs4	D3404	EM3404.contig8	Mitomycin C	10218	non-circular	10218	256	0.999217	16	13	Streptococcus phage phi30c	8	wgs4.contig2	100	10218	440420	10218	13562	237916	0	11405602	50940	6083826	2979002	0.008373021
LM3954	wgs16	D3954	LM3954.contig2	Mitomycin C	10929	non-circular	10929	62	0.99817	15	13	Salmonella phage SPN3UB	4	wgs16.contig312	99.92	10929	1329	1202	2005	15272	2	9881174	36356	11864520	6540484	0.003064262
DM3400	wgs22	D3400	DM3400.contig11	Mitomycin C	5878	non-circular	5878	465	1	12	12	Enterobacteria phage 933W sensu lato	3	wgs22.contig74	99.92	5878	15933	4908	28995	2382644	4	10292330	9753467	9846934	9770662	0.99050801
DM3400	wgs22	D3400	DM3400.contig7	Mitomycin C	9190	non-circular	9190	669	0.998368	15	12	Enterobacteria phage mEp237	3	wgs22.contig74	100	9190	15933	7423	34190	2382644	20	10292330	9753467	9846934	9770662	0.99050801
DNM3400	wgs22	D3400	DNM3400.contig5	No inducer	10552	non-circular	10552	41	0.993651	12	12	Enterobacteria phage 933W sensu lato	3	wgs22.contig60	99.98	10552	23685	10552	1830	1646062	25679	10292330	9753467	9846934	9770662	0.99050801
DNM3400	wgs22	D3400	DNM3400.contig6	No inducer	8837	non-circular	8837	33	0.987326	14	12	Enterobacteria phage mEp237	3	wgs22.contig74	100	8837	15933	7423	1268	1646062	21	10292330	9753467	9846934	9770662	0.99050801
LN3984	wgs18	D3984	LN3984.contig4	No inducer	10744	non-circular	10744	16	0.962211	13	12	Cronobacter phage phiES15	5	wgs18.contig2	100	10744	721104	10744	807	128186	3429	9815116	1631220	8879628	6171168	0.183703642
LN3984	wgs18	D3984	LN3984.contig6	No inducer	8222	non-circular	8222	150	1	17	12	Escherichia phage HK639	5	wgs18.contig21	100	8222	6943	4228	7797	128186	83057	9815116	1631220	8879628	6171168	0.183703642
LN3984	wgs18	D3984	LN3984.contig7	No inducer	8075	non-circular	8075	104	1	14	12	Escherichia phage HK639	2	wgs18.contig7	100	8075	310670	8075	4248	128186	5155	9815116	1631220	8879628	6171168	0.183703642
LN3451	wgs10	D3451	LN3451.contig4	No inducer	11081	non-circular	11081	26	0.992239	12	12	Bacillus phage BCJA1c	6	wgs10.contig18	100	11081	9987	8450	1268	146666	344	11249492	335182	8997444	2377460	0.037253024
LM4281	wgs21	D4281	LM4281.contig4	Mitomycin C	10673	non-circular	10673	154	0.997283	12	12	Cronobacter phage ESSI-2	10	wgs21.contig2	100	10673	720790	10541	7502	70384	11	8897306	138125	4086654	913304	0.033799044
DNM3734	wgs23	D3734	DNM3734.contig3	No inducer	11867	non-circular	11867	37	0.996208	12	12	Enterobacteria phage mEp460	9	NA	NA	NA	NA	NA	2030	2175788	367	11965204	131711	7454292	4427480	0.01766915
LM3981	wgs17	D3981	LM3981.contig2	Mitomycin C	10908	non-circular	10908	35	0.990557	13	12	Salmonella phage FSL SP-004	3	wgs17.contig14	100	10908	86569	6147	2236	14640	16743	9710598	112495	10357630	5290794	0.010861075
DNM3754	wgs24	D3754	DNM3754.contig5	No inducer	10426	non-circular	10426	42	0.979858	14	11	Erwinia phage EtG	5	wgs24.contig4	99.97	10426	216173	9083	1221	2886312	103	12377160	3904731	5460912	4230680	0.715032764
LM3651	wgs12	D3651	LM3651.contig6	Mitomycin C	5670	non-circular	5670	66	0.995944	13	11	Enterobacteria phage mEp237	3	wgs12.contig648	100	5670	2547	2547	3431	75018	3	11044108	1439076	7695824	5127024	0.186994401
LN3654	wgs13	D3654	LN3654.contig3	No inducer	10290	non-circular	10290	100	0.999514	13	11	Erwinia phage EtG	6	wgs13.contig6	100	10290	304485	10290	8302	147448	771	10610270	929376	5669372	4582092	0.163929268
LN4010	wgs19	D4010	LN4010.contig2	No inducer	14281	non-circular	14281	31	0.974372	30	11	Corynebacterium phage IME1320_01	2	NA	NA	NA	NA	NA	1294	61304	0	5012934	16461	419850	4522782	0.03920686
LB3451	wgs10	D3451	LB3451.contig6	Carbadox	7155	non-circular	7155	12	0.980853	13	11	Enterococcus phage EFC-1	3	wgs10.contig8	99.98	7155	108154	5294	952	236210	257	11249492	335182	8997444	2377460	0.037253024
LB3451	wgs10	D3451	LB3451.contig8	Carbadox	4805	non-circular	4805	14	0.993965	14	11	Enterococcus phage phiEf11	4	wgs10.contig7	100	4805	130829	4805	570	236210	33	11249492	335182	8997444	2377460	0.037253024
LC3451	wgs10	D3451	LC3451.contig5	Cipro	8051	non-circular	8051	289	1	13	11	Enterococcus phage phiFL4A	4	wgs10.contig1	99.91	8051	756209	4343	12952	150978	1016	11249492	335182	8997444	2377460	0.037253024
LC3451	wgs10	D3451	LC3451.contig7	Cipro	5856	non-circular	5856	292	1	11	11	Enterococcus phage phiFL4A	6	wgs10.contig5	99.91	5856	210777	4576	17432	150978	1458	11249492	335182	8997444	2377460	0.037253024
LM3451	wgs10	D3451	LM3451.contig5	Mitomycin C	7468	non-circular	7468	93	1	12	11	Enterococcus phage phiFL4A	4	wgs10.contig1	99.98	7468	756209	5155	6931	108906	839	11249492	335182	8997444	2377460	0.037253024
LN3451	wgs10	D3451	LN3451.contig3	No inducer	11618	non-circular	11618	25	0.999053	18	11	Phage Wrath	2	wgs10.contig1	100	11618	756209	11618	1761	146666	1195	11249492	335182	8997444	2377460	0.037253024
DM3734	wgs23	D3734	DM3734.contig14	Mitomycin C	9470	non-circular	9470	514	0.993136	11	11	Enterobacteria phage VT1-Sakai	4	NA	NA	NA	NA	NA	35659	3061110	2528	11965204	131711	7454292	4427480	0.01766915
LM3981	wgs17	D3981	LM3981.contig5	Mitomycin C	5201	non-circular	5201	11	0.961354	12	11	Erwinia phage EtG	5	wgs17.contig14	100	5201	86569	5201	534	14640	85	9710598	112495	10357630	5290794	0.010861075
EM3404	wgs4	D3404	EM3404.contig21	Mitomycin C	4948	non-circular	4948	13	0.968674	14	11	Enterococcus phage vB_EfaS_IME197	3	wgs4.contig87	94.25	4948	753	644	846	237916	0	11405602	50940	6083826	2979002	0.008373021
LM3954	wgs16	D3954	LM3954.contig3	Mitomycin C	10004	non-circular	10004	21	0.967313	13	11	Pectobacterium phage ZF40	7	wgs16.contig1369	100	10004	792	792	631	15272	814	9881174	36356	11864520	6540484	0.003064262
EN3754	wgs5	D3754	EN3754.contig9	No inducer	7893	non-circular	7893	761	0.993919	11	11	Lactobacillus phage iA2	5	wgs5.contig3	100	7893	175008	7873	32852	202582	125	12377160	4574	5460912	4230680	0.000837589
DM3400	wgs22	D3400	DM3400.contig4	Mitomycin C	12107	non-circular	12107	590	1	15	10	Anomala cuprea entomopoxvirus	2	wgs22.contig24	99.88	12107	68616	9817	36574	2382644	12	10292330	9753467	9846934	9770662	0.99050801
LM3984	wgs18	D3984	LM3984.contig7	Mitomycin C	6529	non-circular	6529	80	1	10	10	Salmonella phage 29485	3	wgs18.contig20	100	6529	7320	5779	4068	88356	41359	9815116	1631220	8879628	6171168	0.183703642
LB3451	wgs10	D3451	LB3451.contig5	Carbadox	8067	non-circular	8067	39	0.999752	14	10	Clostridium phage phiCT453A	2	wgs10.contig1	100	8067	756209	8067	2881	236210	953	11249492	335182	8997444	2377460	0.037253024
LN3451	wgs10	D3451	LN3451.contig5	No inducer	8298	non-circular	8298	21	0.981562	15	10	Clostridium phage phiCT453A	2	wgs10.contig1	99.99	8298	756209	8286	1052	146666	927	11249492	335182	8997444	2377460	0.037253024
LN3451	wgs10	D3451	LN3451.contig6	No inducer	7235	non-circular	7235	17	0.995162	11	10	Enterococcus phage phiFL4A	3	wgs10.contig1	100	7235	756209	4743	1302	146666	824	11249492	335182	8997444	2377460	0.037253024
DNM3734	wgs23	D3734	DNM3734.contig5	No inducer	7877	non-circular	7877	46	0.972705	10	10	Escherichia phage 1720a-02	4	NA	NA	NA	NA	NA	2310	2175788	1416	11965204	131711	7454292	4427480	0.01766915
LN4014	wgs20	D4014	LN4014.contig5	No inducer	8078	non-circular	8078	26	0.999876	13	10	Enterobacterial phage mEp390	3	wgs20.contig4	94.92	8078	522725	59	2036	99918	2	10310980	94294	8080992	3191546	0.011668617
LM3981	wgs17	D3981	LM3981.contig3	Mitomycin C	7422	non-circular	7422	33	0.996632	11	10	Enterobacteria phage phiP27	3	wgs17.contig17	100	7422	61054	4507	1129	14640	509	9710598	112495	10357630	5290794	0.010861075
EM3404	wgs4	D3404	EM3404.contig2	Mitomycin C	20996	non-circular	20996	119	0.986474	25	10	Bacillus phage proCM3	2	wgs4.contig7	99.99	20996	174998	14143	8161	237916	0	11405602	50940	6083826	2979002	0.008373021
DM3400	wgs22	D3400	DM3400.contig10	Mitomycin C	6061	non-circular	6061	16	0.995875	10	9	Escherichia phage Rac-SA53	4	wgs22.contig104	99.64	6061	5257	3375	1002	2382644	14464	10292330	9753467	9846934	9770662	0.99050801
LN3570	wgs11	D3570	LN3570.contig1	No inducer	8013	non-circular	8013	13	0.935355	11	9	Lactobacillus phage iA2	3	NA	NA	NA	NA	NA	573	57846	0	9661064	2517665	2922434	1119716	0.861495931
DNM3754	wgs24	D3754	DNM3754.contig6	No inducer	6620	non-circular	6620	13	0.982629	11	9	Klebsiella phage KPP5665-2	3	wgs24.contig26	100	6620	79126	6620	888	2886312	632	12377160	3904731	5460912	4230680	0.715032764
DNM3951	wgs25	D3951	DNM3951.contig11	No inducer	6057	non-circular	6057	1379	1	9	9	Burkholderia virus phiE255	5	wgs25.contig19	100	6057	110183	5930	91178	2719292	16642	8458284	866608	9746080	6326444	0.088918622
DM3734	wgs23	D3734	DM3734.contig19	Mitomycin C	8148	non-circular	8148	79	0.988341	9	9	Escherichia virus Lambda	9	NA	NA	NA	NA	NA	5318	3061110	173	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig30	Mitomycin C	5498	non-circular	5498	3304	1	9	9	Enterobacteria phage phiP27	2	NA	NA	NA	NA	NA	195951	3061110	1789	11965204	131711	7454292	4427480	0.01766915
LM4014	wgs20	D4014	LM4014.contig1	Mitomycin C	9795	non-circular	9795	88	0.972231	11	9	Cronobacter phage ENT47670	2	wgs20.contig4	100	9795	522725	9302	3781	102274	27	10310980	94294	8080992	3191546	0.011668617
LM3981	wgs17	D3981	LM3981.contig4	Mitomycin C	5782	non-circular	5782	7	0.955033	9	9	Escherichia virus P2	3	wgs17.contig16	100	5782	62638	2913	515	14640	39	9710598	112495	10357630	5290794	0.010861075
EN3754	wgs5	D3754	EN3754.contig20	No inducer	4482	non-circular	4482	4	0.966756	9	9	Enterococcus virus FL1	4	wgs5.contig51	100	4482	9544	4482	295	202582	195	12377160	4574	5460912	4230680	0.000837589
LM3891	wgs14	D3891	LM3891.contig3	Mitomycin C	11276	circular	11276	1416	1	15	8	Enterobacteria phage phiR73	2	wgs14.contig3	100	11276	354907	10964	52971	171904	404	10950974	2205999	11627230	7181074	0.18972696
LN3891	wgs14	D3891	LN3891.contig3	No inducer	11276	circular	11276	391	1	15	8	Enterobacteria phage phiR73	2	wgs14.contig3	100	11276	354907	10365	12431	121524	404	10950974	2205999	11627230	7181074	0.18972696
DM3400	wgs22	D3400	DM3400.contig20	Mitomycin C	3630	non-circular	3630	22	0.998071	8	8	Escherichia virus Lambda	7	wgs22.contig73	100	3630	16049	3629	1736	2382644	2	10292330	9753467	9846934	9770662	0.99050801
DNM3400	wgs22	D3400	DNM3400.contig11	No inducer	3887	non-circular	3887	26	0.98868	10	8	Enterobacteria phage 933W sensu lato	2	wgs22.contig60	99.58	3887	23685	3847	1046	1646062	2328	10292330	9753467	9846934	9770662	0.99050801
DNM3400	wgs22	D3400	DNM3400.contig9	No inducer	4284	non-circular	4284	9	0.973623	8	8	Enterobacteria phage P88	7	wgs22.contig18	100	4284	77511	4284	529	1646062	0	10292330	9753467	9846934	9770662	0.99050801
DNM3951	wgs25	D3951	DNM3951.contig10	No inducer	7666	non-circular	7666	2376	0.986434	15	8	Burkholderia virus phiE255	3	wgs25.contig30	100	7666	48688	7518	138192	2719292	20651	8458284	866608	9746080	6326444	0.088918622
LM4010	wgs19	D4010	LM4010.contig3	Mitomycin C	6070	non-circular	6070	11	0.964909	8	8	Corynebacterium phage IME1320_01	8	NA	NA	NA	NA	NA	443	134196	0	5012934	16461	419850	4522782	0.03920686
LB3451	wgs10	D3451	LB3451.contig7	Carbadox	6707	non-circular	6707	34	1	9	8	Enterococcus phage phiFL4A	2	wgs10.contig1	100	6707	756209	4215	2901	236210	725	11249492	335182	8997444	2377460	0.037253024
DM3734	wgs23	D3734	DM3734.contig5	Mitomycin C	21145	non-circular	21145	52	0.998534	20	8	Bacillus phage proCM3	2	NA	NA	NA	NA	NA	6553	3061110	0	11965204	131711	7454292	4427480	0.01766915
BN3751	wgs2	D3751	BN3751.contig5	No inducer	5535	non-circular	5535	107	1	10	8	Enterococcus virus FL3	2	wgs2.contig4	99.98	5535	190521	5535	5124	257188	25	9505542	80755	6918152	4032156	0.011672915
EM3404	wgs4	D3404	EM3404.contig25	Mitomycin C	4132	non-circular	4132	29	0.999758	8	8	Bacillus phage BM5	1	wgs4.contig71	99.87	4132	794	794	2207	237916	0	11405602	50940	6083826	2979002	0.008373021
LM3954	wgs16	D3954	LM3954.contig8	Mitomycin C	4712	non-circular	4712	10	0.913837	12	8	Pectobacterium phage ZF40	3	wgs16.contig1476	100	4712	760	760	239	15272	251	9881174	36356	11864520	6540484	0.003064262
EN3754	wgs5	D3754	EN3754.contig7	No inducer	8025	non-circular	8025	12	0.958629	13	8	Enterococcus virus FL1	3	wgs5.contig87	100	8025	3494	3494	696	202582	158	12377160	4574	5460912	4230680	0.000837589
DM3400	wgs22	D3400	DM3400.contig8	Mitomycin C	7301	non-circular	7301	18	0.988495	7	7	Burkholderia virus phiE255	4	wgs22.contig18	99.94	7301	77511	5218	1171	2382644	0	10292330	9753467	9846934	9770662	0.99050801
LN3651	wgs12	D3651	LN3651.contig3	No inducer	13125	non-circular	13125	32	0.993981	9	7	Anomala cuprea entomopoxvirus	2	wgs12.contig63	99.61	13125	10228	3568	1828	78854	32	11044108	1439076	7695824	5127024	0.186994401
LN3651	wgs12	D3651	LN3651.contig7	No inducer	5906	non-circular	5906	13	0.996614	9	7	Enterobacteria phage mEp237	3	wgs12.contig822	100	5906	1868	1868	629	78854	0	11044108	1439076	7695824	5127024	0.186994401
LM3984	wgs18	D3984	LM3984.contig11	Mitomycin C	4062	non-circular	4062	13	0.981782	7	7	Enterobacteria phage BP-4795	1	wgs18.contig16	100	4062	45948	3533	651	88356	7226	9815116	1631220	8879628	6171168	0.183703642
LM3984	wgs18	D3984	LM3984.contig6	Mitomycin C	6786	non-circular	6786	148	1	8	7	Enterobacteria phage ES18	3	wgs18.contig24	100	6786	4339	4128	5895	88356	54267	9815116	1631220	8879628	6171168	0.183703642
LM3984	wgs18	D3984	LM3984.contig8	Mitomycin C	5557	non-circular	5557	124	1	6	6	Klebsiella virus Sushi	2	wgs18.contig27	100	5557	2919	2919	6894	88356	37841	9815116	1631220	8879628	6171168	0.183703642
LN3984	wgs18	D3984	LN3984.contig13	No inducer	3002	non-circular	3002	84	1	7	7	Enterobacteria phage phi80	4	wgs18.contig1	99.97	3002	1025671	3000	3995	128186	56894	9815116	1631220	8879628	6171168	0.183703642
LM3654	wgs13	D3654	LM3654.contig2	Mitomycin C	26786	non-circular	26786	68	0.9944	28	7	Aeromonas phage phiARM81ld	1	wgs13.contig4	100	26786	424287	26786	5612	209382	1566	10610270	929376	5669372	4582092	0.163929268
BN3451	wgs1	D3451	BN3451.contig5	No inducer	5626	non-circular	5626	258	1	15	7	Enterococcus virus FL1	2	wgs1.contig15	100	5626	64732	5626	11339	195906	845	11249492	300152	8997444	2377460	0.033359696
DM3734	wgs23	D3734	DM3734.contig37	Mitomycin C	4230	non-circular	4230	917	1	7	7	Escherichia phage JLK-2012	2	NA	NA	NA	NA	NA	36772	3061110	2382	11965204	131711	7454292	4427480	0.01766915
EM3404	wgs4	D3404	EM3404.contig7	Mitomycin C	12301	non-circular	12301	638	1	10	7	Enterococcus phage IME-EFm5	1	wgs4.contig2	100	12301	440420	12301	45007	237916	0	11405602	50940	6083826	2979002	0.008373021
LM3954	wgs16	D3954	LM3954.contig6	Mitomycin C	5159	non-circular	5159	22	0.979453	11	7	Enterobacteria phage mEp237	2	wgs16.contig216	99.9	5159	1487	1049	524	15272	1	9881174	36356	11864520	6540484	0.003064262
EN3754	wgs5	D3754	EN3754.contig6	No inducer	9495	non-circular	9495	34	0.991048	13	7	Clostridium phage phiCDHM19	2	wgs5.contig40	100	9495	13335	9495	1757	202582	407	12377160	4574	5460912	4230680	0.000837589
DM3400	wgs22	D3400	DM3400.contig21	Mitomycin C	3416	non-circular	3416	20	0.98302	6	6	Enterobacteria phage mEp460	3	NA	NA	NA	NA	NA	386	2382644	0	10292330	9753467	9846934	9770662	0.99050801
LN3984	wgs18	D3984	LN3984.contig9	No inducer	3826	non-circular	3826	8	0.898327	6	6	Salmonella phage SSU5	6	wgs18.contig12	100	3826	111670	3826	170	128186	95612	9815116	1631220	8879628	6171168	0.183703642
DM3951	wgs25	D3951	DM3951.contig7	Mitomycin C	5180	non-circular	5180	6	0.977027	10	6	Burkholderia virus BcepMu	2	wgs25.contig30	100	5180	48688	5180	510	2738854	25289	8458284	866608	9746080	6326444	0.088918622
DM3734	wgs23	D3734	DM3734.contig1	Mitomycin C	31204	non-circular	31204	477	0.991251	27	6	Hokovirus HKV1	2	NA	NA	NA	NA	NA	36493	3061110	0	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig2	Mitomycin C	25514	non-circular	25514	101	0.997609	26	6	Fowlpox virus	1	NA	NA	NA	NA	NA	8422	3061110	0	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig21	Mitomycin C	7780	non-circular	7780	1101	1	8	6	Salmonella phage ST64B	2	wgs23.contig1	92.16	7780	548270	102	82897	3061110	14513	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig22	Mitomycin C	7435	non-circular	7435	1307	1	10	6	Aggregatibacter phage S1249	1	NA	NA	NA	NA	NA	48596	3061110	3774	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig23	Mitomycin C	7105	non-circular	7105	18	0.991274	8	6	Acanthocystis turfacea Chlorella virus Canal-1	1	NA	NA	NA	NA	NA	856	3061110	0	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig24	Mitomycin C	6837	non-circular	6837	1452	1	8	6	Salmonella phage ST64B	2	NA	NA	NA	NA	NA	103855	3061110	10691	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig35	Mitomycin C	4552	non-circular	4552	364	1	10	6	Enterobacteria phage mEp043 c-1	2	NA	NA	NA	NA	NA	22073	3061110	4241	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig43	Mitomycin C	3834	non-circular	3834	268	1	7	6	Enterobacteria phage mEp460	3	NA	NA	NA	NA	NA	17549	3061110	88	11965204	131711	7454292	4427480	0.01766915
DM3734	wgs23	D3734	DM3734.contig47	Mitomycin C	3708	non-circular	3708	952	0.998652	9	6	Shigella phage SfIV	2	NA	NA	NA	NA	NA	40215	3061110	603	11965204	131711	7454292	4427480	0.01766915
DNM3734	wgs23	D3734	DNM3734.contig7	No inducer	5174	non-circular	5174	363	1	9	6	Stx2-converting phage Stx2a_1447	2	NA	NA	NA	NA	NA	14925	2175788	6331	11965204	131711	7454292	4427480	0.01766915
EM3404	wgs4	D3404	EM3404.contig24	Mitomycin C	4380	non-circular	4380	30	1	10	6	Enterococcus virus FL1	1	wgs4.contig434	100	4380	434	434	2427	237916	0	11405602	50940	6083826	2979002	0.008373021
EM3404	wgs4	D3404	EM3404.contig4	Mitomycin C	17372	non-circular	17372	52	0.989639	17	6	Streptococcus phage phiZJ20091101-1	2	wgs4.contig1	100	17372	472457	17372	4084	237916	0	11405602	50940	6083826	2979002	0.008373021
EN3754	wgs5	D3754	EN3754.contig5	No inducer	12290	non-circular	12290	45	0.99406	15	6	Bacillus virus G	1	wgs5.contig1	100	12290	271830	12156	3030	202582	0	12377160	4574	5460912	4230680	0.000837589
EN3854	wgs6	D3854	EN3854.contig3	No inducer	9672	non-circular	9672	10	0.905707	12	6	Enterobacteria phage ECGD1	2	wgs6.contig9	99.98	9672	143534	9672	585	201906	25	10691994	3577	5352132	5083248	0.000668332
DM3400	wgs22	D3400	DM3400.contig12	Mitomycin C	5534	non-circular	5534	177	1	6	5	Stx2-converting phage 1717	2	wgs22.contig60	96.8	5534	23685	5069	11449	2382644	3326	10292330	9753467	9846934	9770662	0.99050801
DM3400	wgs22	D3400	DM3400.contig14	Mitomycin C	4420	non-circular	4420	15	0.987783	5	5	Enterobacteria phage HK225	1	wgs22.contig120	100	4420	2690	2516	633	2382644	7457	10292330	9753467	9846934	9770662	0.99050801
DNM3400	wgs22	D3400	DNM3400.contig7	No inducer	7778	non-circular	7778	27	0.987015	5	5	Acidithiobacillus phage AcaML1	2	wgs22.contig121	100	7778	2581	2581	1301	1646062	1270	10292330	9753467	9846934	9770662	0.99050801
LM3651	wgs12	D3651	LM3651.contig7	Mitomycin C	4174	non-circular	4174	12	0.994729	7	5	Acinetobacter phage Acj61	1	wgs12.contig148	99.86	4174	7226	4173	555	75018	0	11044108	1439076	7695824	5127024	0.186994401
LM3984	wgs18	D3984	LM3984.contig10	Mitomycin C	4320	non-circular	4320	16	0.999305	5	5	Enterobacteria phage ES18	2	wgs18.contig22	100	4320	5489	4320	645	88356	6706	9815116	1631220	8879628	6171168	0.183703642
LM3984	wgs18	D3984	LM3984.contig13	Mitomycin C	3165	non-circular	3165	12	0.989574	6	5	Enterobacterial phage mEp213	2	wgs18.contig17	100	3165	14826	3165	385	88356	5803	9815116	1631220	8879628	6171168	0.183703642
DNM3951	wgs25	D3951	DNM3951.contig5	No inducer	18510	non-circular	18510	102	0.994003	14	5	Ectocarpus siliculosus virus 1	1	wgs25.contig38	100	18510	19134	18510	4132	2719292	375	8458284	866608	9746080	6326444	0.088918622
EN3894	wgs7	D3894	EN3894.contig2	No inducer	11108	non-circular	11108	18	0.990997	11	5	Bacillus phage BM5	1	wgs7.contig5	100	11108	162019	11101	960	271988	0	7246360	473827	8103910	2787650	0.058468937
EN3894	wgs7	D3894	EN3894.contig3	No inducer	7828	non-circular	7828	19	0.978922	8	5	Streptococcus phage phi1207.3	2	wgs7.contig5	99.99	7828	162019	7715	829	271988	0	7246360	473827	8103910	2787650	0.058468937
LM4010	wgs19	D4010	LM4010.contig4	Mitomycin C	5096	non-circular	5096	3	0.956829	5	5	Corynebacterium phage IME1320_01	2	NA	NA	NA	NA	NA	337	134196	0	5012934	16461	419850	4522782	0.03920686
LB3451	wgs10	D3451	LB3451.contig10	Carbadox	3190	non-circular	3190	4	0.984326	6	5	Enterococcus phage phiEf11	3	wgs10.contig7	99.97	3190	130829	3190	225	236210	9	11249492	335182	8997444	2377460	0.037253024
DM3734	wgs23	D3734	DM3734.contig3	Mitomycin C	23941	non-circular	23941	90	0.997661	23	5	Acidithiobacillus phage AcaML1	2	NA	NA	NA	NA	NA	8612	3061110	0	11965204	131711	7454292	4427480	0.01766915
BC3751	wgs2	D3751	BC3751.contig2	Mitomycin C	7878	non-circular	7878	5	0.934755	13	5	Bacillus phage PfEFR-5	1	wgs2.contig4	100	7878	190521	7878	491	225892	780	9505542	80755	6918152	4032156	0.011672915
LM4014	wgs20	D4014	LM4014.contig2	Mitomycin C	7779	non-circular	7779	13	0.988944	12	5	Cronobacter phage vB_CsaM_GAP32	1	wgs20.contig3	99.97	7779	537100	7779	978	102274	0	10310980	94294	8080992	3191546	0.011668617
LN4014	wgs20	D4014	LN4014.contig6	No inducer	6963	non-circular	6963	27	0.973431	9	5	Shigella phage SfIV	2	wgs20.contig18	100	6963	12778	6313	1391	99918	6	10310980	94294	8080992	3191546	0.011668617
EN3404	wgs4	D3404	EN3404.contig13	No inducer	8275	non-circular	8275	26	0.999879	8	5	Bacillus virus G	2	wgs4.contig2	99.99	8275	440420	8275	1214	158738	0	11405602	50940	6083826	2979002	0.008373021
EN3404	wgs4	D3404	EN3404.contig32	No inducer	3894	non-circular	3894	3	0.905239	5	5	Streptococcus phage IPP61	5	wgs4.contig2	100	3894	440420	3894	234	158738	377	11405602	50940	6083826	2979002	0.008373021
EN3404	wgs4	D3404	EN3404.contig5	No inducer	14044	non-circular	14044	29	0.965893	14	5	Anomala cuprea entomopoxvirus	2	wgs4.contig4	99.99	14044	278694	14044	1209	158738	0	11405602	50940	6083826	2979002	0.008373021
LM3954	wgs16	D3954	LM3954.contig4	Mitomycin C	6860	non-circular	6860	13	0.938338	9	5	Aeromonas virus pIS4A	1	wgs16.contig2526	98.32	6860	537	537	432	15272	219	9881174	36356	11864520	6540484	0.003064262
LN3954	wgs16	D3954	LN3954.contig3	No inducer	5954	non-circular	5954	9	0.956668	8	5	Escherichia virus PA28	2	wgs16.contig215	99.4	5954	1492	1493	329	123718	0	9881174	36356	11864520	6540484	0.003064262
EN3754	wgs5	D3754	EN3754.contig12	No inducer	5742	non-circular	5742	11	0.880878	8	5	Anomala cuprea entomopoxvirus	2	wgs5.contig23	100	5742	52905	5606	513	202582	0	12377160	4574	5460912	4230680	0.000837589
EN3754	wgs5	D3754	EN3754.contig2	No inducer	17413	non-circular	17413	45	0.964969	18	5	Anomala cuprea entomopoxvirus	1	wgs5.contig27	99.99	17413	35292	10296	2261	202582	195	12377160	4574	5460912	4230680	0.000837589
EN3754	wgs5	D3754	EN3754.contig4	No inducer	12604	non-circular	12604	27	0.948985	13	5	Aeromonas virus 31	1	wgs5.contig4	100	12604	147363	12372	1781	202582	0	12377160	4574	5460912	4230680	0.000837589
DM3400	wgs22	D3400	DM3400.contig23	Mitomycin C	3105	non-circular	3105	13	0.963285	6	4	Burkholderia virus phiE255	3	wgs22.contig18	100	3105	77511	3105	338	2382644	0	10292330	9753467	9846934	9770662	0.99050801
LM3984	wgs18	D3984	LM3984.contig14	Mitomycin C	3112	non-circular	3112	15	0.993574	5	4	Cronobacter phage ENT47670	2	wgs18.contig7	100	3112	310670	3112	271	88356	29	9815116	1631220	8879628	6171168	0.183703642
LM3984	wgs18	D3984	LM3984.contig15	Mitomycin C	3067	non-circular	3067	7	0.912944	4	4	Morganella phage IME1369_01	2	wgs18.contig7	99.97	3067	310670	3067	178	88356	105	9815116	1631220	8879628	6171168	0.183703642
LN3984	wgs18	D3984	LN3984.contig10	No inducer	3714	non-circular	3714	6	0.907917	3	3	Enterobacteria phage ES18	2	wgs18.contig22	100	3714	5489	3714	180	128186	5980	9815116	1631220	8879628	6171168	0.183703642
DNM3951	wgs25	D3951	DNM3951.contig9	No inducer	7809	non-circular	7809	28	0.989115	9	4	Hokovirus HKV1	1	wgs25.contig15	100	7809	119824	7809	1053	2719292	131	8458284	866608	9746080	6326444	0.088918622
